팀;액세스망제어팀;행사명;기간;예상인원;망;벤더;시스템 명;ACPF NAME;"RNC명
(RNC 번호 2자리 표시)";DU ID;SECTOR(CELL);5G/LTE 주파수;기지국ID;기지국명;서비스지역;"증설유무
(기존 OR 증설)";통합NMS 운용현황;비고;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200006;393;3.5G;NRSL00530S;종로1234_광화문사거리_32T_B;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200051;340;3.5G;NRSL00517S;종로1234_KT광화문East사옥1F지상_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200051;342;3.5G;NRSL00518S;종로1234_KT광화문East사옥1F지상_32T_B;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200052;390;3.5G;NRSL00524S;종로1234_세종로공원북측_32T_B;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200052;399;3.5G;NRSL63511S;종로1234_광화문사거리_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200052;417;3.5G;NRSL00523S;종로1234_세종로공원북측_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100006;;NS00200429;970;3.5G;NRSL00515S;종로1234_광화문2번출구앞_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100006;;NS00200429;971;3.5G;NRSL00516S;종로1234_광화문2번출구앞_32T_B;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;-;-;SEC0005912;10;900M;RNSL01020T;종로1234_kt광화문East사옥1F지상_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005912;13_31;1.8G_1.8H;RQSL03972T;종로1234_kt광화문East사옥1F지상_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005912;16;2.1E;RTSL26528T;종로1234_KT광화문East사옥1F지상_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;0;900M;RNSL11076T;종로1234_광화문우체국2_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;9;900M;RNSL01048T;종로1234_세종로공원_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;1;900M;RNSL11077T;종로1234_광화문우체국_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;12_30;1.8G_1.8H;RQSL27006T;종로1234_세종로공원_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;4_22;1.8G_1.8H;RQSL03803T;종로1234_광화문우체국_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;6;2.1E;RTSL28918T;종로1234_광화문우체국2_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;15;2.1E;RTSL24404T;종로1234_세종로공원_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0005914;7;2.1E;RTSL03803T;종로1234_광화문우체국_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006194;10;900M;RNSL01080T;종로1234_경통빌딩삼청동길_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006194;13_31;1.8G_1.8H;RQSL04019T;종로1234_경통빌딩삼청동길_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006194;16;2.1E;RTSL04019T;종로1234_경통빌딩삼청동길_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;10;900M;RNSL01233T;명동_프리미어플레이스청계_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;2;900M;RNSL00899T;명동_프리미어플레이스동화_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;13_31;1.8G_1.8H;RQSL04248T;명동_프리미어플레이스청계_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;5_23;1.8G_1.8H;RQSL04273T;명동_프리미어플레이스동화_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;16;2.1E;RTSL04248T;명동_프리미어플레이스청계_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006198;8;2.1E;RTSL04273T;명동_프리미어플레이스동화_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;10;900M;RNSL01000T;종로1234_광화문2번출구앞1_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;2;900M;RNSL01011T;종로1234_광화문2번출구앞2_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;13_31;1.8G_1.8H;RQSL03722T;종로1234_광화문2번출구앞1_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;5_23;1.8G_1.8H;RQSL70739T;종로1234_광화문2번출구앞2_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;16;2.1E;RTSL03722T;종로1234_광화문2번출구앞1_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0006207;8;2.1E;RTSL03719T;종로1234_광화문2번출구앞2_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0010209;11;900M;RNSL01042T;종로1234_광화문사거리_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0010209;14_32;1.8G_1.8H;RQSL26988T;종로1234_광화문사거리_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0010209;17;2.1E;RTSL26988T;종로1234_광화문사거리_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;0;900M;RNSL30544T;종로1234_세종로공원북측_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;10;900M;RNSL01135T;종로1234_경통빌딩광장_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;3_21;1.8G_1.8H;RQSL30544T;종로1234_세종로공원북측_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;13_31;1.8G_1.8H;RQSL30129T;종로1234_경통빌딩광장_RU30;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;6;2.1E;RTSL30544T;종로1234_세종로공원북측_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440007;16;2.1E;RTSL30129T;종로1234_경통빌딩광장_2.1E;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440009;0;900M;RNSL09851T;사직_정부종합청사본관후문_900M;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;LTE;SS;LSM2;;;SEC0440009;3;1.8G;RRSL29544T;사직_정부종합청사본관후문_1.8G;광화문 광장;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200257;797;3.5G;NRSL65703S;신촌_연세대경영관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200235;99;3.5G;NRSL61450S;신촌_연세대종합관2_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;129;3.5G;NRSL61451S;신촌_연세대종합관2_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;128;3.5G;NRSL65715S;신촌_연세대백양관_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200257;800;3.5G;NRSL61449S;신촌_연세대백양관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200259;844;3.5G;NRSL65735S;신촌_연세대새천년관_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200259;845;3.5G;NRSL65736S;신촌_연세대새천년관_32T_G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;146;3.5G;NRSL61445S;신촌_연세대새천년관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200257;798;3.5G;NRSL65705S;신촌_연세대학생회관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200257;799;3.5G;NRSL65706S;신촌_연세대학생회관_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200259;846;3.5G;NRSL65734S;신촌_상남경영관_32T_G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;138;3.5G;NRSL61455S;신촌_상남경영관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;139;3.5G;NRSL61456S;신촌_상남경영관_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;130;3.5G;NRSL61459S;신촌_신촌세브란스새병원_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200236;147;3.5G;NRSL61446S;신촌_신촌세브란스새병원_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200235;97;3.5G;NRSL61447S;신촌_연세대대우관_32T_A;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;5G;SS;HH_USM;ACPF_100001;-;NS00200235;98;3.5G;NRSL61448S;신촌_연세대대우관_32T_B;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010163;12;LTE RU;RRSL24437T;신촌_연세대종합관2_1.8G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;9;LTE RU;RNSL01419T;신촌_연세대대우관_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;2;LTE RU;RNSL01420T;신촌_신촌세브란스새병원3_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;1;LTE RU;RNSL01424T;신촌_연세대백양관_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;1;LTE RU;RNSL01425T;신촌_연세대백양관2_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;0;LTE RU;RNSL01427T;신촌_연세대종합관1_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010163;9;LTE RU;RNSL01428T;신촌_연세대종합관2_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010073;0;LTE RU;RNSL01410T;신촌_상남경영관_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010073;0;LTE RU;RNSL01411T;신촌_연세대새천년관_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;10;LTE RU;RNSL01415T;신촌_신촌세브란스새병원_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;2;LTE RU;RNSL01416T;신촌_신촌세브란스새병원2_900M;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;16;LTE RU;RTSL06372T;신촌_신촌세브란스새병원_2.1G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;7;LTE RU;RTSL24435T;신촌_연세대백양관_2.1G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;6;LTE RU;RTSL24436T;신촌_연세대종합관1_2.1G;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010073;3_21;LTE RU;RQSL06305T;신촌_상남경영관_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;13_31;LTE RU;RQSL06372T;신촌_신촌세브란스새병원_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;5_23;LTE RU;RQSL06373T;신촌_신촌세브란스새병원2_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010075;5_23;LTE RU;RQSL24429T;신촌_신촌세브란스새병원3_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;12_30;LTE RU;RQSL24427T;신촌_연세대대우관_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;4_22;LTE RU;RQSL24435T;신촌_연세대백양관_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;4_22;LTE RU;RQSL24434T;신촌_연세대백양관2_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010073;3_21;LTE RU;RQSL06304T;신촌_연세대새천년관_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;LTE;SS;LSM1;-;-;SEC0010068;3_21;LTE RU;RQSL24436T;신촌_연세대종합관1_RU30;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5213C;1;CCC RU;RRSL06304C;신촌_연세대새천년관_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5213C;1;CCC RU;RRSL06305C;신촌_상남경영관_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5212C;1;CCC RU;RRSL06340C;신촌_연세대종합관2_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5237C;1;CCC RU;RRSL06372C;신촌_세브란스새병원1_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5237C;1;CCC RU;RRSL06373C;신촌_세브란스새병원2_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5237C;1;CCC RU;RRSL06374C;신촌_세브란스새병원3_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL6088C;1;CCC RU;RRSL06530C;신촌_연세대종합관1_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL5222C;1;CCC RU;RRSL07927C;신촌_연세대백양관2_RU;연세대 노천극장 주변;기존;운용;
충정엔지니어링부;강북;메가필드뮤직페스티벌;2022-09-03,04 13:00 ~ 22:00;10,000명;CCC;ELG;GURO05_ERNC02;-;2;SL6088C;1;CCC RU;RRSL06308C;신촌_연세대백양관1_RU;연세대 노천극장 주변;기존;운용;
신내엔지니어링부;강북;2022 이슬라이브 페스티벌;2022-09-03 ~ 2022-09-03;15,000;3G;ELG;YOIN02;-;16;KG4147K;3;3G;KG4147K;가평대곡2-K;자라섬;기존;운용;
